,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902
New Mexico,34,43,41,40,46,47,48,55,66,72,81,96,102,114,148,172,173,172,189,211,215,227,228,256,265,277,276,292,306,297,304,310,312,322,339,373
New York,2569,2596,2608,2642,2690,2757,2794,2801,2815,2835,2839,2869,2920,2946,2988,3042,3082,3122,3157,3215,3248,3274,3317,3406,3476,3565,3610,3622,3622,3608,3653,3724,3735,3735,3651,3467
North Carolina,623,691,728,753,777,838,897,970,1045,1134,1175,1300,1365,1458,1507,1590,1685,1811,1864,2057,2110,2268,2352,2511,2614,2755,2843,2913,2876,2863,2840,2943,3002,3098,3154,3201
North Dakota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,493,502,518,517,523,530,540,543,586,600,647,694,732
Ohio,1942,1973,2005,2032,2054,2095,2127,2140,2164,2189,2222,2259,2313,2416,2473,2542,2620,2707,2725,2763,2834,2908,2956,3073,3156,3229,3281,3308,3301,3282,3302,3383,3398,3405,3303,3111
Oklahoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,206,241,399,468,483,502,530,576,618,666,813
Oregon,120,129,144,157,175,220,239,244,268,291,305,329,354,371,373,397,407,446,463,496,528,564,593,653,701,749,779,778,798,797,823,860,862,890,890,893
Pennsylvania,2593,2639,2707,2842,2893,2964,3039,3072,3113,3155,3203,3290,3333,3444,3505,3596,3716,3840,3894,4001,4119,4219,4340,4570,4684,4842,4915,4968,4980,4974,5015,5155,5206,5255,5138,5045
Puerto Rico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,78,81
Rhode Island,96,98,96,98,100,107,107,103,104,104,107,109,110,116,118,121,122,124,126,125,127,130,129,138,142,145,145,146,144,144,145,151,153,149,143,141
Samoan Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
South Carolina,225,285,307,326,336,391,420,431,460,496,511,543,566,641,692,735,770,793,811,858,906,986,1037,1096,1150,1256,1279,1309,1265,1262,1277,1361,1372,1422,1443,1335
South Dakota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674,673,691,685,668,665,665,667,677,693,694,683,672
Tennessee,653,709,723,788,874,930,947,989,1046,1076,1134,1241,1316,1400,1524,1625,1715,1815,1865,1935,1970,2044,2118,2273,2370,2487,2559,2639,2636,2624,2660,2780,2876,2959,2901,2768
Texas,452,494,489,521,596,654,749,818,861,908,1022,1131,1218,1344,1364,1438,1448,1604,1684,1830,1907,2045,2106,2248,2349,2477,2572,2687,2730,2755,2766,2860,2968,3112,3188,3245
Utah,92,97,104,120,136,155,168,166,171,171,182,190,198,214,225,218,225,239,240,240,247,230,244,253,257,272,280,290,296,301,311,331,338,339,348,340
Vermont,442,447,450,457,467,471,475,482,484,488,489,493,494,497,497,498,505,510,516,520,520,521,523,534,545,554,557,562,563,558,560,569,575,576,570,546
Virginia,880,959,949,1035,1115,1185,1270,1339,1404,1441,1489,1600,1661,1722,1791,1843,1903,1982,2084,2281,2355,2481,2543,2706,2777,2897,2956,3122,3188,3211,3234,3357,3468,3575,3668,3746
Washington,63,66,67,77,92,109,126,138,155,148,153,171,200,238,254,282,296,331,364,385,426,453,476,602,665,766,800,809,804,801,807,813,828,850,884,920
West Virginia,516,566,549,588,614,658,696,714,746,774,779,831,843,889,914,992,1039,1118,1159,1234,1307,1412,1450,1577,1639,1732,1789,1816,1778,1755,1756,1858,1889,1956,2038,2143
Wisconsin,977,991,1012,1058,1085,1128,1157,1190,1229,1244,1275,1303,1327,1339,1368,1399,1422,1461,1494,1488,1510,1522,1557,1640,1688,1736,1776,1793,1809,1826,1843,1896,1926,1942,1861,1760
Wyoming,0,1,20,27,24,30,33,34,40,44,51,55,60,75,85,81,93,97,110,122,148,173,185,226,236,253,260,250,251,262,281,301,312,317,341,339
TOTAL,25163,26481,27095,28492,30045,31863,33244,34294,35547,36383,37345,39258,40852,42917,44512,46231,47862,50017,51252,53614,55157,57376,58999,62401,64329,67119,68403,69805,70064,70360,71022,73570,75000,76688,76945,75924
